num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
24,09_05_22,3,B,2,0,D6,D6,-0.00635,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,O13Y7,3B,O13Y7_exp3B,238,165,0
3,09_05_22,3,B,3,1,C1,C1,-0.0064,N_5_20_S_A,N_5_20_S_A,S_A,N_5,N,5,20,S,A,O13Y8,3B,O13Y8_exp3B,244,165,0
4,7_26_22,1,A,3,0,D1,D1,-0.00347,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y10B53,1A,Y10B53_exp1A,154,26,0
4,7_26_22,1,A,3,1,D1,D1,-0.00616,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y10B54,1A,Y10B54_exp1A,157,26,0
4,7_26_22,1,B,3,0,D1,D1,-0.00357,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y13B73,1B,Y13B73_exp1B,164,57,0
4,7_26_22,1,B,3,1,D1,D1,-0.00353,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y13B74,1B,Y13B74_exp1B,172,57,0
4,08_15_22,2,A,3,0,D1,D1,-0.00333,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y4B33,2A,Y4B33_exp2A,186,94,0
4,08_15_22,2,A,3,1,D1,D1,-0.00551,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y4B34,2A,Y4B34_exp2A,208,94,0
4,08_20_22,2,B,3,0,D1,D1,-0.0044,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y5B37,2B,Y5B37_exp2B,186,128,0
4,08_20_22,2,B,3,1,D1,D1,-0.00634,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,5,20,S,S,Y5B39,2B,Y5B39_exp2B,225,128,0
