exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
2,A,N,1.5,N_1.5,30,S,A,S_A,N_1.5_30_S_A,G34Y4,G34Y4_exp2A,1,G34Y4_day1_exp2A,G34Y4_2A_day1.JPG,0.55005,G34Y4_day11_exp2A,G34Y4_2A_day11.JPG,0.5102,-0.03985
3,B,N,18,N_18,20,F,A,F_A,N_18_20_F_A,O15Y25,O15Y25_exp3B,1,O15Y25_day1_exp3B,O15Y25_3B_day1.JPG,0.49538,O15Y25_day11_exp3B,O15Y25_3B_day11.JPG,0.5095,0.01412
2,A,A,5,A_5,30,F,A,F_A,A_5_30_F_A,G35Y14,G35Y14_exp2A,1,G35Y14_day1_exp2A,G35Y14_2A_day1.JPG,0.40874,G35Y14_day11_exp2A,G35Y14_2A_day11.JPG,0.50877,0.10003
2,B,N,18,N_18,20,S,S,S_S,N_18_20_S_S,R4W20,R4W20_exp2B,1,R4W20_day1_exp2B,R4W20_2B_day1.JPG,0.49768,R4W20_day11_exp2B,R4W20_2B_day11.JPG,0.50692,0.00924
1,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,G24Y43,G24Y43_exp1B,1,G24Y43_day1_exp1B,G24Y43_1B_day1.JPG,0.47108,G24Y43_day11_exp1B,G24Y43_1B_day11.JPG,0.50608,0.035
1,A,A,10,A_10,30,S,A,S_A,A_10_30_S_A,R20W88,R20W88_exp1A,1,R20W88_day1_exp1A,R12W57_1A_day1.JPG,0.50548,R20W88_day11_exp1A,R20W88_1A_day11.JPG,0.50565,0.00017
2,B,N,5,N_5,30,S,A,S_A,N_5_30_S_A,Y15B80,Y15B80_exp2B,1,Y15B80_day1_exp2B,Y15B80_2B_day1.JPG,0.53807,Y15B80_day11_exp2B,Y15B80_2B_day11.JPG,0.50502,-0.03305
2,A,A,0,A_0,30,S,S,S_S,CNTRL_30_S_S,B29G70,B29G70_exp2A,1,B29G70_day1_exp2A,B29G70_2A_day1.JPG,0.44632,B29G70_day11_exp2A,B29G70_2A_day11.JPG,0.5045,0.05818
2,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,G27Y55,G27Y55_exp2B,1,G27Y55_day1_exp2B,G27Y55_2B_day1.JPG,0.49507,G27Y55_day11_exp2B,G27Y55_2B_day11.JPG,0.50331,0.00824
3,B,N,18,N_18,30,F,A,F_A,N_18_30_F_A,W14O66,W14O66_exp3B,1,W14O66_day1_exp3B,W14O66_3B_day1.JPG,0.39939,W14O66_day11_exp3B,W13O60_3B_day11.JPG,0.50327,0.10388
3,B,N,1.5,N_1.5,30,S,S,S_S,N_1.5_30_S_S,W7O34,W7O34_exp3B,1,W7O34_day1_exp3B,W7O34_3B_day1.JPG,0.5218,W7O34_day11_exp3B,W7O34_3B_day11.JPG,0.50318,-0.01862
