num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
385,7/23/2022,10:13:50 AM,29.152,366,chamber,1,1,1
386,7/23/2022,10:43:50 AM,29.252,172.2,chamber,1,1,1
387,7/23/2022,11:13:50 AM,29.252,366,chamber,1,1,1
388,7/23/2022,11:43:50 AM,29.352,129.2,chamber,1,1,1
389,7/23/2022,12:13:50 PM,29.953,301.4,chamber,1,1,1
390,7/23/2022,12:43:50 PM,29.452,269.1,chamber,1,1,1
391,7/23/2022,1:13:50 PM,29.552,226,chamber,1,1,1
392,7/23/2022,1:43:50 PM,29.752,96.9,chamber,1,1,1
393,7/23/2022,2:13:50 PM,29.853,236.8,chamber,1,1,1
394,7/23/2022,2:43:50 PM,29.853,236.8,chamber,1,1,1
395,7/23/2022,3:13:50 PM,29.853,236.8,chamber,1,1,1
