"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"160",165,"N_1.5_30_F_A",1,0.04987734,"Nitrate","1.5","30","Fed","Aposymbiotic","Low","Nitrate_Low_30_Fed_Aposymbiotic"
"161",166,"N_1.5_30_S_A",0,0.109724891,"Nitrate","1.5","30","Starved","Aposymbiotic","Low","Nitrate_Low_30_Starved_Aposymbiotic"
"162",184,"N_1.5_30_S_A",1,0.123071238,"Nitrate","1.5","30","Starved","Aposymbiotic","Low","Nitrate_Low_30_Starved_Aposymbiotic"
"163",165,"N_1.5_30_S_S",0,0.088011716,"Nitrate","1.5","30","Starved","Symbiotic","Low","Nitrate_Low_30_Starved_Symbiotic"
"164",163,"N_1.5_20_F_A",0,0.068920315,"Nitrate","1.5","20","Fed","Aposymbiotic","Low","Nitrate_Low_20_Fed_Aposymbiotic"
"165",169,"N_1.5_20_F_A",1,0.049727235,"Nitrate","1.5","20","Fed","Aposymbiotic","Low","Nitrate_Low_20_Fed_Aposymbiotic"
"166",160,"N_1.5_20_F_S",0,0.065666701,"Nitrate","1.5","20","Fed","Symbiotic","Low","Nitrate_Low_20_Fed_Symbiotic"
"167",171,"N_1.5_20_F_S",1,0.103453756,"Nitrate","1.5","20","Fed","Symbiotic","Low","Nitrate_Low_20_Fed_Symbiotic"
"168",181,"A_5_30_F_S",0,0.043698219,"Ammonium","5","30","Fed","Symbiotic","Low","Ammonium_Low_30_Fed_Symbiotic"
"169",167,"A_5_30_F_S",0,0.304995179,"Ammonium","5","30","Fed","Symbiotic","Low","Ammonium_Low_30_Fed_Symbiotic"
"170",167,"A_5_30_F_A",0,0.047048562,"Ammonium","5","30","Fed","Aposymbiotic","Low","Ammonium_Low_30_Fed_Aposymbiotic"
"171",178,"A_5_30_F_A",1,0.129643105,"Ammonium","5","30","Fed","Aposymbiotic","Low","Ammonium_Low_30_Fed_Aposymbiotic"
"172",164,"N_1.5_20_S_S",0,0.080163387,"Nitrate","1.5","20","Starved","Symbiotic","Low","Nitrate_Low_20_Starved_Symbiotic"
"173",172,"N_1.5_20_S_S",1,0.096420094,"Nitrate","1.5","20","Starved","Symbiotic","Low","Nitrate_Low_20_Starved_Symbiotic"
"174",166,"N_1.5_20_S_A",0,0.096813203,"Nitrate","1.5","20","Starved","Aposymbiotic","Low","Nitrate_Low_20_Starved_Aposymbiotic"
"175",184,"N_1.5_20_S_A",1,0.083989219,"Nitrate","1.5","20","Starved","Aposymbiotic","Low","Nitrate_Low_20_Starved_Aposymbiotic"
"176",167,"A_5_20_F_A",0,0.064424359,"Ammonium","5","20","Fed","Aposymbiotic","Low","Ammonium_Low_20_Fed_Aposymbiotic"
"177",178,"A_5_20_F_A",1,0.051365621,"Ammonium","5","20","Fed","Aposymbiotic","Low","Ammonium_Low_20_Fed_Aposymbiotic"
"178",166,"A_5_20_F_S",0,0.049490708,"Ammonium","5","20","Fed","Symbiotic","Low","Ammonium_Low_20_Fed_Symbiotic"
"179",173,"A_5_20_F_S",1,0.072101057,"Ammonium","5","20","Fed","Symbiotic","Low","Ammonium_Low_20_Fed_Symbiotic"
