col_num,treat_ID_full,e_coli,resp_rate,pollution,dose,temp,feed,symbiont,dose_level,new_treat_ID_full
172,N_1.5_20_S_S,1,-0.005070000000000001,Nitrate,1.5,20,Starved,Symbiotic,Low,Nitrate_Low_20_Starved_Symbiotic
166,N_1.5_20_S_A,0,-0.005180000000000001,Nitrate,1.5,20,Starved,Aposymbiotic,Low,Nitrate_Low_20_Starved_Aposymbiotic
184,N_1.5_20_S_A,1,-0.0029200000000000003,Nitrate,1.5,20,Starved,Aposymbiotic,Low,Nitrate_Low_20_Starved_Aposymbiotic
167,A_5_20_F_A,0,-0.0027600000000000003,Ammonium,5,20,Fed,Aposymbiotic,Low,Ammonium_Low_20_Fed_Aposymbiotic
178,A_5_20_F_A,1,-0.0017400000000000002,Ammonium,5,20,Fed,Aposymbiotic,Low,Ammonium_Low_20_Fed_Aposymbiotic
166,A_5_20_F_S,0,-0.00238,Ammonium,5,20,Fed,Symbiotic,Low,Ammonium_Low_20_Fed_Symbiotic
173,A_5_20_F_S,1,-0.0037600000000000003,Ammonium,5,20,Fed,Symbiotic,Low,Ammonium_Low_20_Fed_Symbiotic
168,A_5_20_S_A,0,-0.0020800000000000003,Ammonium,5,20,Starved,Aposymbiotic,Low,Ammonium_Low_20_Starved_Aposymbiotic
187,A_5_20_S_A,1,-0.0025700000000000002,Ammonium,5,20,Starved,Aposymbiotic,Low,Ammonium_Low_20_Starved_Aposymbiotic
167,A_5_20_S_S,0,-0.0037500000000000003,Ammonium,5,20,Starved,Symbiotic,Low,Ammonium_Low_20_Starved_Symbiotic
182,A_5_20_S_S,1,-0.004070000000000001,Ammonium,5,20,Starved,Symbiotic,Low,Ammonium_Low_20_Starved_Symbiotic
163,N_18_20_F_A,0,-0.00568,Nitrate,18,20,Fed,Aposymbiotic,High,Nitrate_High_20_Fed_Aposymbiotic
169,N_18_20_F_A,1,-0.00288,Nitrate,18,20,Fed,Aposymbiotic,High,Nitrate_High_20_Fed_Aposymbiotic
161,N_18_20_F_S,0,-0.00462,Nitrate,18,20,Fed,Symbiotic,High,Nitrate_High_20_Fed_Symbiotic
171,N_18_20_F_S,1,-0.006520000000000001,Nitrate,18,20,Fed,Symbiotic,High,Nitrate_High_20_Fed_Symbiotic
171,N_18_20_S_A,0,-0.00233,Nitrate,18,20,Starved,Aposymbiotic,High,Nitrate_High_20_Starved_Aposymbiotic
184,N_18_20_S_A,1,-0.004390000000000001,Nitrate,18,20,Starved,Aposymbiotic,High,Nitrate_High_20_Starved_Aposymbiotic
164,N_18_20_S_S,0,-0.00468,Nitrate,18,20,Starved,Symbiotic,High,Nitrate_High_20_Starved_Symbiotic
172,N_18_20_S_S,1,-0.00564,Nitrate,18,20,Starved,Symbiotic,High,Nitrate_High_20_Starved_Symbiotic
