beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
B28G60_exp2A,-0.00321,0.03935,-3.411247718,CNTRL_30_A,0,30,A,1,232
B31G77_exp1A,-0.00448,0.03734,-2.145581344,CNTRL_30_A,0,30,A,1,160
B29G65_exp2A,-0.00297,-0.00948,-4.605170186,CNTRL_30_A,0,30,A,1,221
B33G92_exp2B,-0.00379,-0.04405,-4.96184513,CNTRL_30_A,0,30,A,1,213
B25G45_exp1B,-0.0011,0.0079,-1.058430499,CNTRL_30_A,0,30,A,1,187
B28G60_exp3A,-0.00402,-0.06421,-4.96184513,CNTRL_30_A,0,30,A,1,237
B13G8_exp1B,-0.00234,-0.00406,-1.541779264,CNTRL_30_A,0,30,A,1,184
W3O17_exp3B,-0.0032,0.02044,-1.139434283,CNTRL_30_S,0,30,S,1,252
B33G95_exp2B,-0.00502,0.12481,-0.964955904,CNTRL_30_S,0,30,S,1,226
B13G13_exp1B,-0.00264,0.0262,-1.63989712,CNTRL_30_S,0,30,S,1,178
B31G82_exp1A,-0.00579,-0.05538,-1.575036486,CNTRL_30_S,0,30,S,1,155
B28G63_exp3A,-0.00801,0.00984,-1.917322692,CNTRL_30_S,0,30,S,1,241
B33G93_exp1A,-0.00261,0.06866,-2.617295838,CNTRL_30_S,0,30,S,1,144
W4O24_exp3B,-0.00698,-0.02895,-0.725670372,CNTRL_30_S,0,30,S,1,255
B28G63_exp2A,-0.00326,-0.02821,-0.986176859,CNTRL_30_S,0,30,S,1,220
B25G47_exp1B,-0.00439,0.03141,-2.353878387,CNTRL_30_S,0,30,S,1,182
W3O14_exp3B,-0.00624,-0.00572,-1.418817553,CNTRL_30_S,0,30,S,1,245
B34G3409_exp2B,-0.00392,0.11704,-3.015934981,CNTRL_30_S,0,30,S,1,233
W4O22_exp3B,-0.00448,0.03383,-4.268697949,CNTRL_30_S,0,30,S,1,250
B29G71_exp3A,-0.00892,-0.46977,-3.772261063,CNTRL_30_S,0,30,S,1,241
R11W51_exp2A,-0.00504,0.08061,-1.838851077,A_10_20_A,10,20,A,1,210
R8W41_exp1A,-0.00709,-0.03661,-2.040220829,A_10_20_A,10,20,A,1,154
R11W54_exp3A,-0.00522,0.02848,-2.198225078,A_10_20_A,10,20,A,1,241
R13W67_exp2A,-0.00407,0.05612,-4.422848629,A_10_20_A,10,20,A,1,222
O21W43_exp3B,-0.00425,-0.08917,-0.574475651,A_10_20_A,10,20,A,1,243
R5W22_exp2B,-0.00358,0.05221,-2.009915479,A_10_20_A,10,20,A,1,213
R11W51_exp3A,-0.00357,-0.00369,-2.18036746,A_10_20_A,10,20,A,1,237
R14W72_exp1B,-0.00451,-0.01902,-1.496109227,A_10_20_A,10,20,A,1,187
R6W29_exp2B,-0.00352,0.0195,-2.44184716,A_10_20_A,10,20,A,1,224
R13W64_exp1B,-0.0062,0.0203,-2.095570924,A_10_20_A,10,20,A,1,184
R7W35_exp1A,-0.00437,0.01241,-1.509592577,A_10_20_A,10,20,A,1,153
R7W38_exp1A,-0.01477,0.01642,-1.37436579,A_10_20_S,10,20,S,1,152
R13W64_exp2A,-0.00414,-0.00874,-1.57987911,A_10_20_S,10,20,S,1,233
R13W64_exp3A,-0.00582,0.01311,-3.688879454,A_10_20_S,10,20,S,1,238
R5W27_exp2B,-0.00871,-0.03699,-1.832581464,A_10_20_S,10,20,S,1,182
R13W64_exp3A,-0.00582,0.05574,-3.688879454,A_10_20_S,10,20,S,1,238
R13W67_exp1B,-0.00317,0.03176,-3.101092789,A_10_20_S,10,20,S,1,176
R11W54_exp2A,-0.00372,-0.04561,-0.703197516,A_10_20_S,10,20,S,1,220
R14W74_exp1B,-0.00497,-0.02156,-1.02443289,A_10_20_S,10,20,S,1,182
O22W47_exp3B,-0.00343,-0.02417,-5.80914299,A_10_20_S,10,20,S,1,255
O21W40_exp3B,-0.00705,0.02244,-2.900422094,A_10_20_S,10,20,S,1,245
R8W43_exp1A,-0.00696,-0.03875,-2.47693848,A_10_20_S,10,20,S,1,153
R6W32_exp2B,-0.00614,0.0111,-0.750776293,A_10_20_S,10,20,S,1,233
O22W45_exp3B,-0.00552,0.023,-3.101092789,A_10_20_S,10,20,S,1,250
R20W87_exp1A,-0.00971,0.19716,-2.63108916,A_10_30_A,10,30,A,1,150
R21W94_exp2A,-0.00077,0.06648,-2.26336438,A_10_30_A,10,30,A,1,198
R21W55_exp3A,-0.00559,0.06774,-3.729701449,A_10_30_A,10,30,A,1,243
R15W79_exp1B,-0.00375,-0.00839,-2.525728644,A_10_30_A,10,30,A,1,185
R12W57_exp2B,-0.00527,-0.05668,-2.538307427,A_10_30_A,10,30,A,1,215
R17W83_exp2A,-0.0086,-0.0346,-2.009915479,A_10_30_A,10,30,A,1,232
R1W5_exp1B,-0.00189,-0.01819,-3.324236341,A_10_30_A,10,30,A,1,187
R17W82_exp3A,-0.00262,-0.00722,-3.540459449,A_10_30_A,10,30,A,1,237
