num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
22,7_26_22,1,B,3,1,B6,B6,-0.00452,-0.100003909,0.100003909,N_18_30_F_S,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R21W55,1B,R21W55_exp1B,171,55,0,123.8055505,74.66833398,-49.13721651
15,09_05_22,3,B,1,1,C4,C4,-0.0052,-0.06259847,0.06259847,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O2B11,3B,O2B11_exp3B,252,169,0,123.8817605,113.1682038,-10.71355669
6,7_26_22,1,A,3,1,B2,B2,-0.00456,-0.063307962,0.063307962,N_5_30_F_S,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y2B24,1A,Y2B24_exp1A,153,31,0,124.4226203,114.183689,-10.23893135
6,7_26_22,1,B,2,0,B2,B2,-0.00747,-0.068920315,0.068920315,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G30Y75,1B,G30Y75_exp1B,163,43,0,124.9076374,155.6946474,30.78700997
16,09_05_22,3,B,1,1,D4,D4,-0.00329,-0.064516721,0.064516721,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W1O2,3B,W1O2_exp3B,242,177,0,124.9875767,105.86744,-19.12013678
15,08_15_22,2,A,1,1,C4,C4,-0.00675,-0.088015865,0.088015865,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B22G31,2A,B22G31_exp2A,186,66,0,125.2212415,130.5734437,5.352202162
15,7_26_22,1,A,1,0,C4,C4,-0.0044,-0.041588441,0.041588441,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G54,1A,B27G54_exp1A,150,4,0,125.435305,172.8654838,47.43017878
23,08_20_22,2,B,2,0,C6,C6,-0.00439,-0.080904839,0.080904839,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,Y1B10,2B,Y1B10_exp2B,171,121,0,125.5343271,135.1595688,9.625241692
15,7_26_22,1,B,1,0,C4,C4,-0.00138,-0.051749498,0.051749498,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B29G64,1B,B29G64_exp1B,164,39,0,125.8777866,134.9429353,9.065148665
21,08_20_22,2,B,3,1,A6,A6,-0.0075,-0.135337255,0.135337255,N_18_30_F_A,N_18_30_F_A,F_A,N_18,N,Nitrate,18,30,F,A,R7W36,2B,R7W36_exp2B,201,119,0,126.3183901,164.8561575,38.53776747
17,7_26_22,1,B,3,1,A5,A5,-0.00288,-0.753244282,0.753244282,N_18_20_F_A,N_18_20_F_A,F_A,N_18,N,Nitrate,18,20,F,A,R10W46,1B,R10W46_exp1B,169,49,0,126.5850594,141.7681217,15.18306227
20,7_26_22,1,B,3,0,D5,D5,-0.00468,-0.241147624,0.241147624,N_18_20_S_S,N_18_20_S_S,S_S,N_18,N,Nitrate,18,20,S,S,R11W53,1B,R11W53_exp1B,164,50,0,126.7256957,108.3488247,-18.3768709
16,08_15_22,2,A,1,0,D4,D4,-0.00865,-0.143536968,0.143536968,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G46,2A,B25G46_exp2A,185,69,0,126.9045942,151.0932859,24.18869166
